FighterId,FirstName,LastName,Nickname,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,CareerStats
"140000001","Chance","Rencountre","Black Eagle","Scrambled","1986-12-31T00:00:00","114.3","262.5","115.8","25","12","0","0","14","5","12","0","0","0","0","[object Object]"
"140000002","Kyle","Stewart","Gunz Up","Scrambled","1989-01-31T00:00:00","106.5","285.6","117.3","23","14","0","0","11","5","7","2","0","2","0","[object Object]"
"140000003","Geoff","Neal","Handz of Steel","Scrambled","1990-08-28T00:00:00","109.6","270.2","115.8","23","12","0","0","14","2","5","5","0","0","0","[object Object]"
"140000004","Belal","Muhammad","Remember the Name","Scrambled","1988-07-09T00:00:00","109.6","262.5","111.2","36","7","0","2","12","2","2","0","2","0","0","[object Object]"
"140000005","Dennis","Bermudez","The Menace","Scrambled","1986-12-13T00:00:00","101.9","239.3","101.9","26","14","0","0","10","5","7","10","0","0","0","[object Object]"
"140000006","Te","Edwards","Tango","Scrambled","1990-09-11T00:00:00","105","239.3","111.2","14","7","0","0","14","2","0","0","0","0","0","[object Object]"
"140000007","Cory","Sandhagen","null","Scrambled","1992-04-20T00:00:00","109.6","216.2","108.1","26","10","0","0","11","0","7","2","2","2","0","[object Object]"
"140000008","Mario","Bautista","null","Scrambled","1993-07-01T00:00:00","106.5","210","106.5","20","5","0","0","7","2","14","2","0","0","0","[object Object]"
"140000009","Alonzo","Menifield","Atomic","Scrambled","1987-10-18T00:00:00","111.2","316.5","117.3","22","7","2","0","15","2","7","0","0","0","0","[object Object]"
"140000010","Vinicius","Moreira","Mamute","Scrambled","1989-02-28T00:00:00","117.3","318.1","117.3","14","12","0","0","2","10","12","2","0","0","0","[object Object]"
"140000011","Joanne","Wood","JoJo","Scrambled","1985-12-23T00:00:00","101.9","193","101.1","25","12","0","0","12","0","2","12","0","0","0","[object Object]"
"140000012","Ariane","Lipski","Queen of Violence","Scrambled","1994-01-26T00:00:00","101.9","193","103.4","25","12","0","0","14","10","7","0","7","0","0","[object Object]"
"140000013","Donald","Cerrone","Cowboy","Scrambled","1983-03-29T00:00:00","112.7","262.5","112.7","56","26","0","2","15","12","26","5","0","10","0","[object Object]"
"140000014","Alexander","Hernandez","The Great Ape","Scrambled","1992-10-01T00:00:00","106.5","240.9","111.2","22","14","0","0","14","7","5","2","0","0","0","[object Object]"
"140000015","Glover","Teixeira","null","Scrambled","1979-10-28T00:00:00","114.3","316.5","117.3","51","14","0","0","28","7","15","2","2","7","0","[object Object]"
"140000016","Karl","Roberson","Baby K","Scrambled","1990-10-04T00:00:00","112.7","313.4","114.3","14","14","0","0","5","5","10","10","0","0","0","[object Object]"
"140000017","Paige","VanZant","12 Gauge","Scrambled","1994-03-26T00:00:00","98.8","193","100.4","12","12","0","0","5","0","7","7","0","0","0","[object Object]"
